"","sim_i","t","out","in"
"1051",1,1,891,310
"1052",1,1,1085,310
"1053",1,1,349,311
"1054",1,1,378,311
"1055",1,1,504,311
"1056",1,1,1818,311
"1057",1,1,1926,311
"1058",1,1,2083,311
"1059",1,1,1350,312
"1060",1,1,1881,312
"1061",1,1,1889,312
"1062",1,1,1986,312
"1063",1,1,2318,312
"1064",1,1,2467,312
"1065",1,1,345,313
"1066",1,1,502,313
"1067",1,1,956,313
"1068",1,1,1608,313
"1069",1,1,2111,313
"1070",1,1,490,314
"1071",1,1,746,314
"1072",1,1,857,315
"1073",1,1,1417,315
"1074",1,1,1582,315
"1075",1,1,1954,315
"1076",1,1,2056,315
"1077",1,1,830,316
"1078",1,1,854,316
"1079",1,1,1710,316
"1080",1,1,1749,316
"1081",1,1,1985,316
"1082",1,1,838,317
"1083",1,1,865,317
"1084",1,1,1736,317
"1085",1,1,1809,317
"1086",1,1,1875,317
"1087",1,1,2163,317
"1088",1,1,2235,317
"1089",1,1,561,318
"1090",1,1,1156,318
"1091",1,1,1209,318
"1092",1,1,1426,318
"1093",1,1,1830,318
"1094",1,1,2053,318
"1095",1,1,470,319
"1096",1,1,1259,319
"1097",1,1,1738,319
"1098",1,1,2134,319
"1099",1,1,559,320
"1100",1,1,1317,320
"1101",1,1,1428,320
"1102",1,1,1516,320
"1103",1,1,1799,320
"1104",1,1,2329,320
"1105",1,1,2459,320
"1106",1,1,1246,321
"1107",1,1,1365,321
"1108",1,1,1484,321
"1109",1,1,2370,321
"1110",1,1,1285,322
"1111",1,1,1596,322
"1112",1,1,2445,322
"1113",1,1,883,323
"1114",1,1,1364,323
"1115",1,1,2168,323
"1116",1,1,2464,323
"1117",1,1,672,324
"1118",1,1,731,324
"1119",1,1,1119,324
"1120",1,1,1297,324
"1121",1,1,1908,324
"1122",1,1,2255,324
"1123",1,1,332,325
"1124",1,1,455,325
"1125",1,1,1351,325
"1126",1,1,1581,326
"1127",1,1,2297,326
"1128",1,1,2456,326
"1129",1,1,514,327
"1130",1,1,1582,327
"1131",1,1,2384,327
"1132",1,1,384,328
"1133",1,1,940,328
"1134",1,1,992,328
"1135",1,1,2291,328
"1136",1,1,1751,330
"1137",1,1,1860,331
"1138",1,1,2324,331
"1139",1,1,2391,331
"1140",1,1,1418,332
"1141",1,1,2055,332
"1142",1,1,501,333
"1143",1,1,634,333
"1144",1,1,589,334
"1145",1,1,772,334
"1146",1,1,948,334
"1147",1,1,1149,334
"1148",1,1,2026,334
"1149",1,1,1205,335
"1150",1,1,1834,335
"1151",1,1,1901,335
"1152",1,1,2006,335
"1153",1,1,2015,335
"1154",1,1,2215,335
"1155",1,1,1619,336
"1156",1,1,1716,336
"1157",1,1,1824,336
"1158",1,1,1975,336
"1159",1,1,1100,337
"1160",1,1,1152,337
"1161",1,1,1509,337
"1162",1,1,1754,337
"1163",1,1,2229,337
"1164",1,1,645,338
"1165",1,1,1403,338
"1166",1,1,1488,338
"1167",1,1,1970,338
"1168",1,1,767,339
"1169",1,1,1516,339
"1170",1,1,1598,339
"1171",1,1,1916,339
"1172",1,1,920,340
"1173",1,1,1417,340
"1174",1,1,2144,340
"1175",1,1,553,341
"1176",1,1,792,341
"1177",1,1,2356,341
"1178",1,1,680,342
"1179",1,1,858,342
"1180",1,1,954,342
"1181",1,1,2292,342
