,sim_i,t,source,target
28309,1,19,1164,660
28310,1,19,2936,667
28311,1,19,1166,668
28312,1,19,1694,668
28313,1,19,2842,668
28314,1,19,1779,670
28315,1,19,2918,670
28316,1,19,830,672
28317,1,19,1848,672
28318,1,19,2302,675
28319,1,19,2591,675
28320,1,19,2614,675
28321,1,19,2557,676
28322,1,19,990,682
28323,1,19,2013,682
28324,1,19,2867,683
28325,1,19,799,686
28326,1,19,2435,687
28327,1,19,2853,687
28328,1,19,2302,689
28329,1,19,2673,689
28330,1,19,2615,694
28331,1,19,837,699
28332,1,19,2243,699
28333,1,19,1362,700
28334,1,19,2614,700
28335,1,19,2653,700
28336,1,19,2441,701
28337,1,19,2133,703
28338,1,19,1473,704
28339,1,19,1243,705
28340,1,19,1626,706
28341,1,19,2945,706
28342,1,19,2427,708
28343,1,19,2722,708
28344,1,19,1068,710
28345,1,19,1938,710
28346,1,19,2207,710
28347,1,19,2687,712
28348,1,19,1079,715
28349,1,19,1435,715
28350,1,19,1185,716
28351,1,19,1723,716
28352,1,19,786,717
28353,1,19,1412,717
28354,1,19,1910,717
28355,1,19,1190,719
28356,1,19,1847,719
28357,1,19,2345,719
28358,1,19,732,721
28359,1,19,1959,721
28360,1,19,2981,721
28361,1,19,2057,722
28362,1,19,2260,722
28363,1,19,2053,723
28364,1,19,2741,723
28365,1,19,1481,724
28366,1,19,2417,724
28367,1,19,1999,725
28368,1,19,2147,725
28369,1,19,1554,728
28370,1,19,1962,730
28371,1,19,2677,730
28372,1,19,1156,731
28373,1,19,2999,731
28374,1,19,1305,732
28375,1,19,2943,734
28376,1,19,1316,735
28377,1,19,1915,735
28378,1,19,1790,736
28379,1,19,1506,737
28380,1,19,2004,737
28381,1,19,1227,740
28382,1,19,1836,740
28383,1,19,1712,741
28384,1,19,799,745
28385,1,19,1184,745
28386,1,19,1879,745
28387,1,19,1887,745
28388,1,19,2055,745
28389,1,19,2870,746
28390,1,19,1000,747
28391,1,19,2613,747
28392,1,19,2457,749
28393,1,19,907,750
28394,1,19,1287,750
28395,1,19,2129,750
28396,1,19,1691,751
28397,1,19,1378,752
28398,1,19,2905,752
28399,1,19,1608,753
28400,1,19,1231,754
28401,1,19,1727,754
28402,1,19,2080,755
28403,1,19,772,757
28404,1,19,943,758
28405,1,19,2664,758
28406,1,19,1026,759
28407,1,19,883,760
28408,1,19,1923,760
28409,1,19,2770,761
28410,1,19,2240,762
28411,1,19,1983,764
28412,1,19,2259,765
28413,1,19,2919,765
28414,1,19,1943,766
28415,1,19,2512,767
28416,1,19,1581,769
28417,1,19,2974,770
28418,1,19,1887,771
28419,1,19,2292,772
28420,1,19,2926,772
28421,1,19,1410,773
28422,1,19,1380,774
28423,1,19,2388,777
28424,1,19,2853,777
28425,1,19,2937,777
28426,1,19,1188,779
28427,1,19,2193,779
28428,1,19,1756,780
28429,1,19,2157,780
28430,1,19,875,781
28431,1,19,2628,782
28432,1,19,1849,783
28433,1,19,2144,785
28434,1,19,2526,785
28435,1,19,2831,785
28436,1,19,957,786
